company,aws_service,datetime,gross_cost
weyland-yutani,cloudwatch,2024-02-24 22:00:00,51.79
ingen,infinidash,2024-02-24 23:00:00,46.53
ingen,ec2,2024-02-24 23:00:00,35.8
ingen,s3,2024-02-24 23:00:00,8.02
weyland-yutani,cloudwatch,2024-02-25 03:00:00,100.23
ingen,ec2,2024-02-25 04:00:00,87.01
cyberdyne,s3,2024-02-25 06:00:00,52.17
cyberdyne,ec2,2024-02-25 06:00:00,131.09
cyberdyne,infinidash,2024-02-25 06:00:00,371.87
weyland-yutani,cloudwatch,2024-02-25 08:00:00,83.55
ingen,ec2,2024-02-25 10:00:00,775.4
weyland-yutani,sagemaker,2024-02-25 10:00:00,1376.59
weyland-yutani,ec2,2024-02-25 10:00:00,2250.0
weyland-yutani,infinidash,2024-02-25 16:00:00,229.44
weyland-yutani,sagemaker,2024-02-25 16:00:00,4608.74
ingen,cloudwatch,2024-02-25 17:00:00,5.68
weyland-yutani,ec2,2024-02-25 22:00:00,112.48
weyland-yutani,ec2,2024-02-25 23:00:00,503.33
weyland-yutani,infinidash,2024-02-25 23:00:00,138.07
weyland-yutani,s3,2024-02-25 23:00:00,112.19
weyland-yutani,cloudwatch,2024-02-25 23:00:00,40.88
ingen,ec2,2024-02-26 00:00:00,116.68
ingen,s3,2024-02-26 00:00:00,22.61
ingen,cloudwatch,2024-02-26 00:00:00,28.16
cyberdyne,cloudwatch,2024-02-26 02:00:00,22.94
weyland-yutani,sagemaker,2024-02-26 03:00:00,2092.91
cyberdyne,s3,2024-02-26 06:00:00,12.28
ingen,ec2,2024-02-26 07:00:00,36.64
tyrell,s3,2024-02-26 07:00:00,11.91
weyland-yutani,ec2,2024-02-26 07:00:00,75.63
cyberdyne,cloudwatch,2024-02-26 09:00:00,10.81
ingen,ec2,2024-02-26 09:00:00,290.35
ingen,infinidash,2024-02-26 09:00:00,923.2
tyrell,cloudwatch,2024-02-26 09:00:00,2.54
cyberdyne,cloudwatch,2024-02-26 12:00:00,4.87
cyberdyne,s3,2024-02-26 12:00:00,20.6
cyberdyne,infinidash,2024-02-26 12:00:00,191.61
weyland-yutani,sagemaker,2024-02-26 12:00:00,2823.9
weyland-yutani,cloudwatch,2024-02-26 12:00:00,19.25
weyland-yutani,s3,2024-02-26 12:00:00,277.66
weyland-yutani,s3,2024-02-26 13:00:00,62.63
weyland-yutani,ec2,2024-02-26 13:00:00,2138.08
weyland-yutani,cloudwatch,2024-02-26 13:00:00,14.55
cyberdyne,ec2,2024-02-26 14:00:00,145.09
weyland-yutani,sagemaker,2024-02-26 15:00:00,426.06
cyberdyne,cloudwatch,2024-02-26 16:00:00,28.61
ingen,ec2,2024-02-26 17:00:00,43.45
ingen,s3,2024-02-26 17:00:00,11.42
cyberdyne,cloudwatch,2024-02-26 20:00:00,17.83
ingen,infinidash,2024-02-26 21:00:00,413.98
tyrell,s3,2024-02-26 21:00:00,2.0
weyland-yutani,sagemaker,2024-02-26 22:00:00,3718.85
weyland-yutani,sagemaker,2024-02-27 03:00:00,6903.68
weyland-yutani,infinidash,2024-02-27 03:00:00,3271.74
cyberdyne,infinidash,2024-02-27 04:00:00,64.16
cyberdyne,s3,2024-02-27 04:00:00,3.09
ingen,cloudwatch,2024-02-27 05:00:00,92.37
tyrell,cloudwatch,2024-02-27 05:00:00,1.64
weyland-yutani,cloudwatch,2024-02-27 07:00:00,97.48
cyberdyne,ec2,2024-02-27 08:00:00,82.44
cyberdyne,s3,2024-02-27 08:00:00,14.54
cyberdyne,s3,2024-02-27 10:00:00,39.38
cyberdyne,cloudwatch,2024-02-27 11:00:00,17.06
ingen,cloudwatch,2024-02-27 12:00:00,51.64
weyland-yutani,infinidash,2024-02-27 12:00:00,1983.02
cyberdyne,cloudwatch,2024-02-27 13:00:00,6.79
tyrell,sagemaker,2024-02-27 15:00:00,58.67
cyberdyne,ec2,2024-02-27 18:00:00,76.86
ingen,s3,2024-02-27 18:00:00,156.0
weyland-yutani,cloudwatch,2024-02-27 18:00:00,450.0
weyland-yutani,sagemaker,2024-02-27 19:00:00,3757.62
cyberdyne,infinidash,2024-02-27 20:00:00,68.19
cyberdyne,sagemaker,2024-02-27 20:00:00,91.14
weyland-yutani,infinidash,2024-02-28 02:00:00,114.76
ingen,cloudwatch,2024-02-28 04:00:00,63.74
ingen,cloudwatch,2024-02-28 06:00:00,19.79
ingen,s3,2024-02-28 06:00:00,15.21
ingen,sagemaker,2024-02-28 06:00:00,1070.79
tyrell,sagemaker,2024-02-28 06:00:00,302.87
weyland-yutani,sagemaker,2024-02-28 06:00:00,5976.03
weyland-yutani,infinidash,2024-02-28 06:00:00,341.5
cyberdyne,s3,2024-02-28 08:00:00,21.78
weyland-yutani,ec2,2024-02-28 10:00:00,144.18
weyland-yutani,sagemaker,2024-02-28 10:00:00,225.0
weyland-yutani,s3,2024-02-28 10:00:00,91.87
ingen,s3,2024-02-28 11:00:00,72.39
ingen,cloudwatch,2024-02-28 11:00:00,18.93
weyland-yutani,infinidash,2024-02-28 12:00:00,514.17
weyland-yutani,cloudwatch,2024-02-28 12:00:00,17.24
weyland-yutani,sagemaker,2024-02-28 13:00:00,3657.19
weyland-yutani,infinidash,2024-02-28 13:00:00,352.56
tyrell,infinidash,2024-02-28 18:00:00,17.16
ingen,ec2,2024-02-28 21:00:00,261.98
weyland-yutani,sagemaker,2024-02-28 21:00:00,3150.98
tyrell,sagemaker,2024-02-28 23:00:00,87.17
weyland-yutani,sagemaker,2024-02-28 23:00:00,2218.62
weyland-yutani,cloudwatch,2024-02-28 23:00:00,186.84
weyland-yutani,ec2,2024-02-28 23:00:00,75.04
cyberdyne,cloudwatch,2024-02-29 03:00:00,96.07
ingen,sagemaker,2024-02-29 05:00:00,386.39
ingen,ec2,2024-02-29 05:00:00,192.43
weyland-yutani,sagemaker,2024-02-29 06:00:00,1970.03
weyland-yutani,cloudwatch,2024-02-29 06:00:00,72.17
weyland-yutani,infinidash,2024-02-29 06:00:00,1013.92
ingen,infinidash,2024-02-29 07:00:00,189.89
ingen,s3,2024-02-29 07:00:00,21.21
weyland-yutani,infinidash,2024-02-29 07:00:00,3157.45
weyland-yutani,cloudwatch,2024-02-29 08:00:00,34.54
cyberdyne,infinidash,2024-02-29 09:00:00,342.11
cyberdyne,cloudwatch,2024-02-29 09:00:00,56.68
ingen,ec2,2024-02-29 09:00:00,116.29
weyland-yutani,infinidash,2024-02-29 12:00:00,459.78
weyland-yutani,cloudwatch,2024-02-29 14:00:00,76.53
weyland-yutani,sagemaker,2024-02-29 14:00:00,2726.11
cyberdyne,infinidash,2024-02-29 17:00:00,35.01
cyberdyne,s3,2024-02-29 21:00:00,1.31
cyberdyne,ec2,2024-02-29 21:00:00,95.24
weyland-yutani,sagemaker,2024-02-29 23:00:00,2840.76
weyland-yutani,cloudwatch,2024-02-29 23:00:00,450.0
ingen,ec2,2024-03-01 01:00:00,235.48
ingen,s3,2024-03-01 01:00:00,37.34
weyland-yutani,ec2,2024-03-01 02:00:00,431.79
weyland-yutani,sagemaker,2024-03-01 02:00:00,351.26
ingen,infinidash,2024-03-01 04:00:00,50.33
ingen,ec2,2024-03-01 04:00:00,231.46
weyland-yutani,ec2,2024-03-01 05:00:00,1885.23
ingen,ec2,2024-03-01 06:00:00,102.42
weyland-yutani,infinidash,2024-03-01 06:00:00,2087.35
weyland-yutani,sagemaker,2024-03-01 06:00:00,3223.14
cyberdyne,cloudwatch,2024-03-01 08:00:00,16.84
weyland-yutani,sagemaker,2024-03-01 11:00:00,702.38
ingen,infinidash,2024-03-01 12:00:00,199.66
cyberdyne,ec2,2024-03-01 13:00:00,124.52
weyland-yutani,ec2,2024-03-01 15:00:00,329.07
cyberdyne,s3,2024-03-01 16:00:00,13.02
cyberdyne,cloudwatch,2024-03-01 16:00:00,12.81
weyland-yutani,infinidash,2024-03-01 16:00:00,154.48
weyland-yutani,ec2,2024-03-01 16:00:00,1437.26
weyland-yutani,sagemaker,2024-03-01 16:00:00,4560.87
ingen,s3,2024-03-01 17:00:00,34.72
weyland-yutani,infinidash,2024-03-01 18:00:00,178.23
ingen,infinidash,2024-03-01 22:00:00,189.34
cyberdyne,s3,2024-03-01 23:00:00,10.57
cyberdyne,s3,2024-03-02 00:00:00,8.53
ingen,infinidash,2024-03-02 01:00:00,131.3
ingen,infinidash,2024-03-02 06:00:00,361.12
weyland-yutani,infinidash,2024-03-02 07:00:00,167.39
cyberdyne,cloudwatch,2024-03-02 12:00:00,5.31
cyberdyne,s3,2024-03-02 12:00:00,28.11
ingen,s3,2024-03-02 12:00:00,9.45
weyland-yutani,ec2,2024-03-02 12:00:00,425.74
weyland-yutani,sagemaker,2024-03-02 12:00:00,9000.0
ingen,infinidash,2024-03-02 14:00:00,39.0
weyland-yutani,sagemaker,2024-03-02 15:00:00,1638.71
weyland-yutani,ec2,2024-03-02 15:00:00,1385.36
weyland-yutani,infinidash,2024-03-02 17:00:00,857.83
weyland-yutani,sagemaker,2024-03-02 17:00:00,661.22
weyland-yutani,sagemaker,2024-03-02 19:00:00,1280.14
weyland-yutani,cloudwatch,2024-03-02 19:00:00,14.23
cyberdyne,cloudwatch,2024-03-02 23:00:00,4.44
ingen,infinidash,2024-03-03 00:00:00,185.92
ingen,cloudwatch,2024-03-03 00:00:00,154.58
cyberdyne,ec2,2024-03-03 03:00:00,10.0
cyberdyne,infinidash,2024-03-03 03:00:00,42.09
ingen,cloudwatch,2024-03-03 04:00:00,60.69
weyland-yutani,sagemaker,2024-03-03 05:00:00,4132.36
ingen,infinidash,2024-03-03 07:00:00,62.9
cyberdyne,cloudwatch,2024-03-03 09:00:00,30.1
cyberdyne,ec2,2024-03-03 09:00:00,89.69
cyberdyne,infinidash,2024-03-03 11:00:00,208.55
ingen,cloudwatch,2024-03-03 12:00:00,12.29
ingen,infinidash,2024-03-03 18:00:00,248.03
ingen,s3,2024-03-03 18:00:00,10.53
weyland-yutani,sagemaker,2024-03-03 18:00:00,1008.35
ingen,s3,2024-03-04 01:00:00,56.85
weyland-yutani,ec2,2024-03-04 01:00:00,499.72
weyland-yutani,infinidash,2024-03-04 01:00:00,181.93
tyrell,s3,2024-03-04 03:00:00,1.04
cyberdyne,infinidash,2024-03-04 08:00:00,34.99
ingen,infinidash,2024-03-04 09:00:00,247.06
weyland-yutani,sagemaker,2024-03-04 09:00:00,2366.12
weyland-yutani,ec2,2024-03-04 09:00:00,571.51
cyberdyne,cloudwatch,2024-03-04 10:00:00,4.28
cyberdyne,ec2,2024-03-04 12:00:00,148.23
cyberdyne,s3,2024-03-04 12:00:00,13.26
cyberdyne,cloudwatch,2024-03-04 18:00:00,22.21
ingen,ec2,2024-03-04 20:00:00,31.42
weyland-yutani,infinidash,2024-03-04 20:00:00,118.56
weyland-yutani,cloudwatch,2024-03-04 20:00:00,136.45
weyland-yutani,cloudwatch,2024-03-04 21:00:00,16.4
weyland-yutani,ec2,2024-03-04 21:00:00,697.03
weyland-yutani,sagemaker,2024-03-04 21:00:00,2843.33
cyberdyne,infinidash,2024-03-04 23:00:00,122.58
cyberdyne,cloudwatch,2024-03-04 23:00:00,16.15
weyland-yutani,ec2,2024-03-05 01:00:00,397.56
cyberdyne,ec2,2024-03-05 02:00:00,135.75
cyberdyne,cloudwatch,2024-03-05 02:00:00,3.58
ingen,ec2,2024-03-05 03:00:00,95.37
weyland-yutani,sagemaker,2024-03-05 04:00:00,9000.0
weyland-yutani,infinidash,2024-03-05 04:00:00,437.54
weyland-yutani,ec2,2024-03-05 05:00:00,435.23
weyland-yutani,infinidash,2024-03-05 05:00:00,1369.77
weyland-yutani,sagemaker,2024-03-05 06:00:00,567.18
weyland-yutani,cloudwatch,2024-03-05 06:00:00,40.05
cyberdyne,ec2,2024-03-05 08:00:00,24.95
cyberdyne,s3,2024-03-05 08:00:00,29.24
ingen,cloudwatch,2024-03-05 08:00:00,25.0
ingen,s3,2024-03-05 08:00:00,26.99
weyland-yutani,sagemaker,2024-03-05 08:00:00,2877.8
weyland-yutani,infinidash,2024-03-05 08:00:00,476.23
cyberdyne,cloudwatch,2024-03-05 11:00:00,100.0
cyberdyne,s3,2024-03-05 11:00:00,35.0
weyland-yutani,infinidash,2024-03-05 11:00:00,208.3
weyland-yutani,sagemaker,2024-03-05 11:00:00,1348.16
weyland-yutani,cloudwatch,2024-03-05 11:00:00,29.84
weyland-yutani,ec2,2024-03-05 11:00:00,350.92
cyberdyne,infinidash,2024-03-05 14:00:00,163.99
cyberdyne,ec2,2024-03-05 14:00:00,36.27
cyberdyne,infinidash,2024-03-05 16:00:00,299.31
tyrell,cloudwatch,2024-03-05 18:00:00,1.15
tyrell,s3,2024-03-05 19:00:00,3.53
cyberdyne,s3,2024-03-05 21:00:00,5.97
ingen,cloudwatch,2024-03-05 21:00:00,47.48
ingen,ec2,2024-03-05 21:00:00,243.62
ingen,s3,2024-03-06 02:00:00,17.61
ingen,sagemaker,2024-03-06 02:00:00,363.7
ingen,cloudwatch,2024-03-06 02:00:00,21.75
weyland-yutani,cloudwatch,2024-03-06 03:00:00,34.04
weyland-yutani,infinidash,2024-03-06 03:00:00,2089.25
weyland-yutani,ec2,2024-03-06 03:00:00,161.72
weyland-yutani,infinidash,2024-03-06 04:00:00,686.99
cyberdyne,infinidash,2024-03-06 09:00:00,191.44
cyberdyne,ec2,2024-03-06 09:00:00,210.2
ingen,s3,2024-03-06 09:00:00,10.89
ingen,infinidash,2024-03-06 09:00:00,163.64
ingen,cloudwatch,2024-03-06 11:00:00,16.82
ingen,infinidash,2024-03-06 11:00:00,498.24
weyland-yutani,sagemaker,2024-03-06 13:00:00,633.69
cyberdyne,cloudwatch,2024-03-06 14:00:00,22.86
tyrell,sagemaker,2024-03-06 15:00:00,104.28
cyberdyne,ec2,2024-03-06 17:00:00,177.31
ingen,ec2,2024-03-06 21:00:00,55.15
cyberdyne,cloudwatch,2024-03-06 23:00:00,20.23
weyland-yutani,ec2,2024-03-06 23:00:00,78.76
weyland-yutani,infinidash,2024-03-06 23:00:00,554.64
weyland-yutani,cloudwatch,2024-03-06 23:00:00,20.84
ingen,infinidash,2024-03-07 01:00:00,275.79
weyland-yutani,infinidash,2024-03-07 04:00:00,1189.86
weyland-yutani,ec2,2024-03-07 04:00:00,689.29
weyland-yutani,sagemaker,2024-03-07 04:00:00,468.34
ingen,s3,2024-03-07 05:00:00,11.09
ingen,ec2,2024-03-07 05:00:00,391.43
tyrell,cloudwatch,2024-03-07 05:00:00,10.28
tyrell,sagemaker,2024-03-07 06:00:00,23.64
ingen,s3,2024-03-07 07:00:00,14.69
ingen,ec2,2024-03-07 07:00:00,105.56
weyland-yutani,ec2,2024-03-07 08:00:00,1041.0
weyland-yutani,s3,2024-03-07 08:00:00,113.16
weyland-yutani,cloudwatch,2024-03-07 09:00:00,450.0
weyland-yutani,sagemaker,2024-03-07 09:00:00,1679.99
cyberdyne,infinidash,2024-03-07 11:00:00,473.88
cyberdyne,cloudwatch,2024-03-07 11:00:00,13.17
cyberdyne,ec2,2024-03-07 14:00:00,130.65
cyberdyne,s3,2024-03-07 14:00:00,27.73
ingen,ec2,2024-03-07 14:00:00,324.91
ingen,cloudwatch,2024-03-07 14:00:00,21.77
cyberdyne,cloudwatch,2024-03-07 16:00:00,16.9
ingen,s3,2024-03-07 16:00:00,30.5
ingen,cloudwatch,2024-03-07 18:00:00,23.25
weyland-yutani,infinidash,2024-03-07 20:00:00,149.24
weyland-yutani,sagemaker,2024-03-07 20:00:00,4381.72
weyland-yutani,ec2,2024-03-07 20:00:00,757.72
weyland-yutani,cloudwatch,2024-03-07 20:00:00,11.16
ingen,infinidash,2024-03-07 22:00:00,362.27
tyrell,sagemaker,2024-03-08 00:00:00,241.0
weyland-yutani,infinidash,2024-03-08 00:00:00,236.74
weyland-yutani,cloudwatch,2024-03-08 00:00:00,120.74
weyland-yutani,cloudwatch,2024-03-08 01:00:00,90.73
weyland-yutani,cloudwatch,2024-03-08 02:00:00,9.39
weyland-yutani,sagemaker,2024-03-08 03:00:00,2938.03
weyland-yutani,s3,2024-03-08 03:00:00,28.82
ingen,s3,2024-03-08 05:00:00,114.17
cyberdyne,s3,2024-03-08 09:00:00,13.22
weyland-yutani,ec2,2024-03-08 09:00:00,476.64
weyland-yutani,cloudwatch,2024-03-08 12:00:00,107.43
weyland-yutani,infinidash,2024-03-08 12:00:00,224.47
ingen,infinidash,2024-03-08 13:00:00,99.13
weyland-yutani,cloudwatch,2024-03-08 13:00:00,34.44
weyland-yutani,sagemaker,2024-03-08 13:00:00,9000.0
cyberdyne,s3,2024-03-08 14:00:00,3.05
ingen,s3,2024-03-08 19:00:00,8.27
ingen,infinidash,2024-03-08 19:00:00,484.02
ingen,ec2,2024-03-08 19:00:00,426.32
weyland-yutani,sagemaker,2024-03-08 21:00:00,4415.99
weyland-yutani,infinidash,2024-03-08 21:00:00,441.38
weyland-yutani,ec2,2024-03-08 21:00:00,325.65
ingen,infinidash,2024-03-08 23:00:00,43.4
weyland-yutani,ec2,2024-03-08 23:00:00,372.89
weyland-yutani,infinidash,2024-03-08 23:00:00,3080.56
tyrell,s3,2024-03-09 00:00:00,2.97
cyberdyne,s3,2024-03-09 04:00:00,18.6
cyberdyne,ec2,2024-03-09 04:00:00,81.82
weyland-yutani,infinidash,2024-03-09 05:00:00,288.18
weyland-yutani,infinidash,2024-03-09 06:00:00,429.89
weyland-yutani,ec2,2024-03-09 06:00:00,464.1
ingen,infinidash,2024-03-09 07:00:00,832.65
ingen,ec2,2024-03-09 07:00:00,26.86
cyberdyne,s3,2024-03-09 08:00:00,53.54
cyberdyne,infinidash,2024-03-09 08:00:00,67.43
cyberdyne,cloudwatch,2024-03-09 09:00:00,100.0
ingen,infinidash,2024-03-09 11:00:00,91.62
weyland-yutani,cloudwatch,2024-03-09 11:00:00,168.68
weyland-yutani,sagemaker,2024-03-09 11:00:00,225.0
cyberdyne,cloudwatch,2024-03-09 13:00:00,11.62
cyberdyne,infinidash,2024-03-09 13:00:00,167.41
ingen,cloudwatch,2024-03-09 13:00:00,14.19
weyland-yutani,infinidash,2024-03-09 15:00:00,396.6
weyland-yutani,ec2,2024-03-09 15:00:00,182.84
weyland-yutani,sagemaker,2024-03-09 15:00:00,2342.92
ingen,ec2,2024-03-09 18:00:00,257.38
cyberdyne,s3,2024-03-09 19:00:00,16.31
weyland-yutani,ec2,2024-03-09 21:00:00,846.42
weyland-yutani,sagemaker,2024-03-09 21:00:00,807.55
weyland-yutani,s3,2024-03-09 23:00:00,65.58
weyland-yutani,cloudwatch,2024-03-09 23:00:00,40.82
ingen,cloudwatch,2024-03-10 02:00:00,28.74
ingen,ec2,2024-03-10 02:00:00,58.44
ingen,s3,2024-03-10 04:00:00,18.21
weyland-yutani,infinidash,2024-03-10 04:00:00,511.01
weyland-yutani,ec2,2024-03-10 04:00:00,743.15
cyberdyne,ec2,2024-03-10 05:00:00,87.26
cyberdyne,cloudwatch,2024-03-10 05:00:00,13.86
cyberdyne,s3,2024-03-10 06:00:00,62.02
weyland-yutani,cloudwatch,2024-03-10 09:00:00,52.97
ingen,cloudwatch,2024-03-10 10:00:00,72.84
ingen,ec2,2024-03-10 10:00:00,83.71
ingen,infinidash,2024-03-10 10:00:00,504.83
weyland-yutani,cloudwatch,2024-03-10 10:00:00,73.55
ingen,ec2,2024-03-10 14:00:00,152.91
weyland-yutani,cloudwatch,2024-03-10 15:00:00,35.19
weyland-yutani,ec2,2024-03-10 15:00:00,90.74
weyland-yutani,infinidash,2024-03-10 15:00:00,214.59
cyberdyne,cloudwatch,2024-03-10 16:00:00,100.0
ingen,ec2,2024-03-10 19:00:00,157.87
ingen,s3,2024-03-10 19:00:00,91.7
cyberdyne,cloudwatch,2024-03-10 20:00:00,11.77
cyberdyne,infinidash,2024-03-10 20:00:00,25.0
weyland-yutani,ec2,2024-03-10 20:00:00,561.87
weyland-yutani,sagemaker,2024-03-10 22:00:00,1373.28
weyland-yutani,ec2,2024-03-10 22:00:00,169.61
cyberdyne,s3,2024-03-10 23:00:00,43.73
cyberdyne,cloudwatch,2024-03-10 23:00:00,13.43
cyberdyne,ec2,2024-03-10 23:00:00,63.25
weyland-yutani,infinidash,2024-03-11 00:00:00,1417.67
cyberdyne,cloudwatch,2024-03-11 02:00:00,14.41
cyberdyne,ec2,2024-03-11 02:00:00,112.94
cyberdyne,infinidash,2024-03-11 03:00:00,74.19
ingen,cloudwatch,2024-03-11 03:00:00,122.12
ingen,ec2,2024-03-11 03:00:00,200.37
weyland-yutani,ec2,2024-03-11 03:00:00,572.44
weyland-yutani,infinidash,2024-03-11 04:00:00,774.13
weyland-yutani,cloudwatch,2024-03-11 04:00:00,5.52
cyberdyne,sagemaker,2024-03-11 06:00:00,151.51
weyland-yutani,ec2,2024-03-11 07:00:00,703.58
weyland-yutani,cloudwatch,2024-03-11 07:00:00,165.73
cyberdyne,cloudwatch,2024-03-11 08:00:00,87.8
weyland-yutani,infinidash,2024-03-11 08:00:00,1023.75
weyland-yutani,sagemaker,2024-03-11 08:00:00,656.11
ingen,ec2,2024-03-11 09:00:00,661.3
ingen,s3,2024-03-11 09:00:00,2.37
tyrell,s3,2024-03-11 09:00:00,4.0
cyberdyne,infinidash,2024-03-11 14:00:00,141.08
cyberdyne,s3,2024-03-11 14:00:00,7.77
weyland-yutani,cloudwatch,2024-03-11 14:00:00,165.6
weyland-yutani,infinidash,2024-03-11 14:00:00,2136.36
weyland-yutani,sagemaker,2024-03-11 14:00:00,1024.61
ingen,s3,2024-03-11 16:00:00,156.0
weyland-yutani,sagemaker,2024-03-11 17:00:00,1773.26
weyland-yutani,cloudwatch,2024-03-11 17:00:00,27.34
cyberdyne,ec2,2024-03-11 19:00:00,142.54
weyland-yutani,ec2,2024-03-11 21:00:00,441.96
weyland-yutani,sagemaker,2024-03-11 21:00:00,3536.21
weyland-yutani,cloudwatch,2024-03-11 21:00:00,191.03
weyland-yutani,infinidash,2024-03-11 21:00:00,367.4
cyberdyne,ec2,2024-03-12 01:00:00,80.47
cyberdyne,cloudwatch,2024-03-12 01:00:00,26.42
cyberdyne,infinidash,2024-03-12 03:00:00,649.93
ingen,s3,2024-03-12 03:00:00,28.03
ingen,infinidash,2024-03-12 03:00:00,99.38
weyland-yutani,infinidash,2024-03-12 07:00:00,170.89
ingen,s3,2024-03-12 11:00:00,94.03
tyrell,cloudwatch,2024-03-12 11:00:00,2.82
weyland-yutani,cloudwatch,2024-03-12 11:00:00,75.61
weyland-yutani,sagemaker,2024-03-12 11:00:00,1333.81
weyland-yutani,s3,2024-03-12 11:00:00,128.99
cyberdyne,cloudwatch,2024-03-12 12:00:00,14.18
weyland-yutani,sagemaker,2024-03-12 12:00:00,225.0
weyland-yutani,ec2,2024-03-12 12:00:00,252.4
weyland-yutani,cloudwatch,2024-03-12 12:00:00,20.39
weyland-yutani,sagemaker,2024-03-12 14:00:00,828.17
weyland-yutani,ec2,2024-03-12 14:00:00,820.41
weyland-yutani,cloudwatch,2024-03-12 14:00:00,45.21
weyland-yutani,infinidash,2024-03-12 20:00:00,1394.83
ingen,cloudwatch,2024-03-12 23:00:00,59.12
ingen,ec2,2024-03-12 23:00:00,516.82
cyberdyne,cloudwatch,2024-03-13 00:00:00,21.06
weyland-yutani,cloudwatch,2024-03-13 05:00:00,33.69
cyberdyne,ec2,2024-03-13 07:00:00,31.23
cyberdyne,cloudwatch,2024-03-13 07:00:00,28.91
weyland-yutani,sagemaker,2024-03-13 08:00:00,461.51
weyland-yutani,ec2,2024-03-13 08:00:00,169.81
weyland-yutani,cloudwatch,2024-03-13 08:00:00,36.49
ingen,sagemaker,2024-03-13 09:00:00,172.02
ingen,infinidash,2024-03-13 13:00:00,87.53
ingen,sagemaker,2024-03-13 13:00:00,570.0
tyrell,ec2,2024-03-13 14:00:00,5.48
weyland-yutani,cloudwatch,2024-03-13 15:00:00,53.41
cyberdyne,cloudwatch,2024-03-13 19:00:00,56.42
weyland-yutani,infinidash,2024-03-13 20:00:00,451.28
ingen,infinidash,2024-03-13 21:00:00,94.04
ingen,ec2,2024-03-14 00:00:00,47.92
ingen,infinidash,2024-03-14 00:00:00,844.28
weyland-yutani,cloudwatch,2024-03-14 00:00:00,342.45
weyland-yutani,ec2,2024-03-14 00:00:00,138.61
weyland-yutani,infinidash,2024-03-14 00:00:00,772.51
cyberdyne,infinidash,2024-03-14 03:00:00,35.36
cyberdyne,s3,2024-03-14 03:00:00,5.15
cyberdyne,sagemaker,2024-03-14 05:00:00,936.19
cyberdyne,cloudwatch,2024-03-14 05:00:00,40.61
weyland-yutani,ec2,2024-03-14 05:00:00,269.59
weyland-yutani,infinidash,2024-03-14 05:00:00,713.99
ingen,s3,2024-03-14 06:00:00,30.62
ingen,ec2,2024-03-14 08:00:00,118.36
ingen,s3,2024-03-14 08:00:00,26.21
weyland-yutani,cloudwatch,2024-03-14 10:00:00,65.96
weyland-yutani,s3,2024-03-14 10:00:00,8.0
weyland-yutani,ec2,2024-03-14 10:00:00,1520.92
weyland-yutani,infinidash,2024-03-14 10:00:00,221.49
weyland-yutani,ec2,2024-03-14 11:00:00,1149.9
ingen,ec2,2024-03-14 12:00:00,18.03
ingen,cloudwatch,2024-03-14 12:00:00,10.81
ingen,cloudwatch,2024-03-14 16:00:00,43.08
ingen,s3,2024-03-14 16:00:00,156.0
cyberdyne,infinidash,2024-03-14 17:00:00,38.74
weyland-yutani,ec2,2024-03-14 17:00:00,969.56
cyberdyne,infinidash,2024-03-14 21:00:00,80.7
cyberdyne,cloudwatch,2024-03-14 21:00:00,18.27
cyberdyne,s3,2024-03-14 21:00:00,24.42
cyberdyne,s3,2024-03-14 22:00:00,8.95
cyberdyne,cloudwatch,2024-03-14 22:00:00,24.85
tyrell,cloudwatch,2024-03-14 22:00:00,0.79
ingen,cloudwatch,2024-03-14 23:00:00,78.68
tyrell,ec2,2024-03-15 00:00:00,100.57
cyberdyne,s3,2024-03-15 01:00:00,21.75
weyland-yutani,ec2,2024-03-15 06:00:00,343.27
ingen,infinidash,2024-03-15 07:00:00,187.89
cyberdyne,infinidash,2024-03-15 09:00:00,222.1
weyland-yutani,ec2,2024-03-15 11:00:00,515.08
ingen,ec2,2024-03-15 12:00:00,401.05
ingen,infinidash,2024-03-15 12:00:00,476.28
weyland-yutani,sagemaker,2024-03-15 14:00:00,4935.44
weyland-yutani,infinidash,2024-03-15 14:00:00,372.87
weyland-yutani,ec2,2024-03-15 14:00:00,391.09
ingen,infinidash,2024-03-15 17:00:00,159.57
tyrell,s3,2024-03-15 18:00:00,3.98
cyberdyne,s3,2024-03-15 20:00:00,36.71
weyland-yutani,infinidash,2024-03-15 20:00:00,588.15
weyland-yutani,sagemaker,2024-03-15 20:00:00,1000.43
cyberdyne,infinidash,2024-03-15 22:00:00,82.36
cyberdyne,s3,2024-03-15 22:00:00,6.35
weyland-yutani,cloudwatch,2024-03-15 22:00:00,450.0
ingen,cloudwatch,2024-03-16 01:00:00,33.43
weyland-yutani,ec2,2024-03-16 03:00:00,1425.13
weyland-yutani,infinidash,2024-03-16 04:00:00,692.73
weyland-yutani,ec2,2024-03-16 04:00:00,435.57
ingen,ec2,2024-03-16 07:00:00,219.47
weyland-yutani,infinidash,2024-03-16 10:00:00,451.6
cyberdyne,cloudwatch,2024-03-16 13:00:00,8.16
cyberdyne,s3,2024-03-16 13:00:00,45.3
ingen,ec2,2024-03-16 13:00:00,150.59
ingen,cloudwatch,2024-03-16 13:00:00,6.73
cyberdyne,sagemaker,2024-03-16 19:00:00,287.22
cyberdyne,cloudwatch,2024-03-16 19:00:00,3.75
ingen,infinidash,2024-03-16 22:00:00,785.6
ingen,cloudwatch,2024-03-16 22:00:00,8.36
ingen,infinidash,2024-03-17 05:00:00,73.95
